name,value,zone,dehkia_two,tf
--- Trash Loot ---,,,
Aakman's Guardian Token,13120,Aakman,
Tainted Aakman's Token,32900,[Dekhia] Aakman,
Broken Shackles,500,Abandoned Iron Mine,
Shadow Knight's Armor Ornament,15000,Abandoned Monastery,
Chilled Soul Piece,105640,Aetherion Castle,
Covetous Eye,16000,[Elvia] Altar Imps,
Specter's Cloth,35000,Ash Forest,
Tainted Specter's Cloth,52500,[Dehkia] Ash Forest,[Dehkia II] Ash Forest
Bashim Mane,14800,Bashim Base,
Basilisk Scale,8300,Basilisk Den,
Proof of Reckless Courage,16000,[Elvia] Biraghi Den,
Blood Wolf Mane,7764,Blood Wolf Settlement,
Proof of Blind Faith,19000,[Elvia] Bloody Monastery,
Torn Buccaneer Lapel,13470,Bumblin' Buccaneers,
Cadry's Token,15700,Cadry Ruins,
Tainted Cadry's Token,35880,[Dehkia] Cadry Ruins,
Mark of Desperate Rebels,17500,[Elvia] Castle Ruins,
Catfishman Scale,4600,Catfishman Camp,
Centaurus Mane,21900,Centaurus Herd,
Mark of the Black Sands,32900,City of the Dead,
Token of Crescent,10600,Crescent Shrine,
Tainted Token of Crescent,38800,[Dehkia] Crescent Shrine,
Abyssal Ash,38000,Crypt of Resting Thoughts,
Huge Spear,7700,Cyclops Land,
Tainted Huge Spear,32950,[Dehkia] Cyclops Land,
Tainted Armor Fragment,100507,Dark Energy Floodlands,
Decayed Cloth,45570,Darkseekers' Retreat,
Desert Naga's Webfoot,12700,Desert Naga Temple,
Discarded Kkebicap,52571,Dokkebi Forest,
Cultist's Token,720,Elric Shrine,
Evergrowing Scale,24350,Erethea's Limbo,
Fadus Armor Fragment,9671,Fadus Habitat,
Hoof of Forest Ronaros,13490,Forest Ronaros Area,
Shiny Treasure,59415,Fortunate Golden Pig Cave,
Gahaz Seal,20930,Gahaz Bandit's Lair,
Shattered Treasures,59415,Golden Pig Cave,
Bronze Fragment of Delusion,25120,Gyfin Rhasia Temple (Under),
Fragment of Bronze Artifact,16400,Gyfin Rhasia Temple (Upper),
Tainted Bronze Fragment,125900,[Dehkia] Gyfin Rhasia Temple (Upper),
Mysterious Rock Fragment,1700,Hasrah Cliff,
Helmet Ornament,840,Helms Post,
Sharp Bone Fragment,6200,Hexe Sanctuary,
Howling Bone Fragment,26190,[Elvia] Hexe Sanctuary,
Faded Bandit Mask,20520,Honglim Base,
Hystria Ruins Fragment,20370,Hystria Ruins,
Tainted Ruins Fragment,34270,[Dehkia] Hystria Ruins,
Jade Starlit Powder,20140,Jade Starlight Forest,
Iridescent Rock Piece,8000,Kratuga Ancient Ruins,
Bunch of Loose Mane Hair,550,Manes Hideout,
Corrupt Crystal,7500,Mansha Forest,
Narc Magic Mark,12770,Manshaum Forest,
Degraded Wood Fragment,18200,Mirumok Ruins,
Tainted Wood Fragment,101500,[Dehkia] Mirumok Ruins,[Dehkia] Mirumok Ruins
Decomposed Exocrine Gland,11980,Murrowak's Labyrinth,
Gazelle Fur,220,Navarn Steppe,
Griffon Beak,21150,Navarn Steppe,
Ferri Beak,3750,Navarn Steppe,
Belladonna Elephant Ivory Piece,5580,Navarn Steppe,
Black Leopard Fang,19520,Navarn Steppe,
Feather Wolf Tail,3020,Navarn Steppe,
Contaminated Coral Piece,115200,Nymphamaré Castle,
Golem's Heart Fragment,107000,Olun's Valley,
Tainted Golem's Heart Fragment,111700,[Dehkia] Olun's Valley,[Dehkia II] Olun's Valley
Lightlost Core,140600,Orbita Castle,
Oily Orange Mushroom,18500,[Elvia] Orc Camp,
Thorn-Entwined Weapon Fragment,96040,Orzekea,
Outlaw's Mark,15000,Padix Island,
Warder'd Token Piece,16400,Pila Ku Jail,
Tainted Token Piece,30900,[Dehkia] Pila Ku Jail,
Mushroom Hypha,9720,Polly's Forest,
Scornful Spear,20000,[Elvia] Primal Giant Post,
Protty Fin,10500,Protty Cave,
Fiery Troll Hide,96750,[Elvia] Quint Hill,
Broken Rhutum Fang,6000,Rhutum Outstation,
Gnawing Rhutum Fang,18575,[Elvia] Rhutum Outstation,
Sulfur Fragment,18600,Roud Sulfur Mine,
Tainted Sulfur Fragment,31500,[Elvia] Roud Sulfur Mine,
Icy Armor Fragment,17520,[Elvia] Saunil Camp,
Armor Fragment,476,Sausan Garrison,
Robe Piece,504,Sausan Garrison,
Sausan Supply Package,800,Sausan Garrison,
Token of Bravery,12750,Sherekhan Necropolis (Day),
Medal of Bravery,57777,Sherekhan Necropolis (Night),
Armor Fragment,11050,Shultz Guard,
Old Identification Tag,700,Soldier's Cemetery,
Spell Necklace Ornament,635,Soldier's Cemetery,
Mark of Frenzy,900,Soldier's Cemetery,
Corrupted Sanguine Crystal,155000,Star's End,
Hardened Casque,17000,[Elvia] Swamp Fogans,
Bruised Naga Fin,18000,[Elvia] Swamp Nagas,
Underwater Ancient Weapon Power Stone,107900,Sycraia Ruins (Lower),
Destroyed Ancient Weapon Power Stone,33800,Sycraia Ruins (Upper),
Ancient Soldier Fragment,147630,Tenebraum Castle,
Moonlight Spirit Powder,15000,Thornwood Forest,
Tainted Moonlight Spirit Powder,39000,[Dehkia] Thornwood Forest,
Desert Fogan's Helmet Shard,14500,Titium Valley,
Shard of the Vengeful Undead,1820,Traitor's Graveyard,
Swamp Leaves,8820,Tshira Ruins,
Tungrad Ruins Fragment,35100,Tungrad Ruins,
Broken Horn Fragment,18000,Tunkuta,
Tainted Broken Horn Fragment,40000,[Dehkia] Tunkuta,
Sanguine Crystal of Despair,15500,Vessel of Inquisition,
Useful Coin Pouch,780,Wandering Rogue Den,
Stone Waragon Hide,10000,Waragon Nest,
Winter Tree Snow Crystal,5620,Winter Tree Fossil,
